"","treeID","gridID","x","y","dbh","code2","cd2_gss","l/d","nt_2021","notes","scintfc","genus","species","code8","geometry"
"131",135,107,584208.4082,148750.6973,20.32,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584208.4082, 148750.6973)
"132",136,107,584209.7086,148749.9157,15.748,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584209.7086, 148749.9157)
"133",137,107,584203.7597,148747.9954,25.654,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584203.7597, 148747.9954)
"134",138,107,584210.4856,148742.2811,38.1,"QUAL",NA,"D",NA,"Dead","Quercus alba","Quercus","alba","quercusAlba",c(584210.4856, 148742.2811)
"135",139,107,584201.0303,148744.3095,15.494,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584201.0303, 148744.3095)
"136",140,107,584198.9607,148742.035,30.988,"ACSA",NA,"L",NA,NA,"Acer saccharum","Acer","saccharum","acerSaccharu",c(584198.9607, 148742.035)
"137",141,107,584198.393,148743.3434,60.96,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584198.393, 148743.3434)
"138",142,107,584194.7235,148740.946,15.24,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584194.7235, 148740.946)
"139",143,107,584192.4976,148743.3494,27.432,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584192.4976, 148743.3494)
"140",144,107,584188.8209,148742.0219,15.24,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584188.8209, 148742.0219)
"141",145,107,584188.7335,148742.2729,11.176,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584188.7335, 148742.2729)
"142",146,107,584192.1,148745.7591,31.75,"QUAL",NA,"L",NA,NA,"Quercus alba","Quercus","alba","quercusAlba",c(584192.1, 148745.7591)
"143",147,107,584188.0877,148746.188,62.738,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584188.0877, 148746.188)
"144",148,107,584187.0751,148750.4157,19.812,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584187.0751, 148750.4157)
"145",149,107,584191.5703,148752.0778,30.48,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584191.5703, 148752.0778)
"146",150,107,584186.9736,148759.4634,13.97,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584186.9736, 148759.4634)
"147",151,107,584187.8554,148760.8625,56.388,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584187.8554, 148760.8625)
"148",152,107,584195.3695,148756.1563,12.446,"ACPE",NA,"L",NA,NA,"Acer pennsylvanicum","Acer","pennsylvanicum","acerPennsylv",c(584195.3695, 148756.1563)
"149",153,107,584195.6724,148760.4022,31.242,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584195.6724, 148760.4022)
"150",154,108,584229.1776,148763.9092,11.43,"BELE",NA,"L",NA,NA,"Betula lenta","Betula","lenta","betulaLenta",c(584229.1776, 148763.9092)
"151",155,108,584233.6039,148764.8602,46.99,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584233.6039, 148764.8602)
"152",156,108,584231.876,148759.8789,15.24,"BELE",NA,"L",NA,NA,"Betula lenta","Betula","lenta","betulaLenta",c(584231.876, 148759.8789)
"153",157,108,584234.5076,148758.3522,10.922,"BELE",NA,"L",NA,NA,"Betula lenta","Betula","lenta","betulaLenta",c(584234.5076, 148758.3522)
"154",158,108,584234.003,148756.0806,10.16,"BELE",NA,"L",NA,NA,"Betula lenta","Betula","lenta","betulaLenta",c(584234.003, 148756.0806)
"155",159,108,584229.8121,148755.4044,22.86,"BELE",NA,"L",NA,NA,"Betula lenta","Betula","lenta","betulaLenta",c(584229.8121, 148755.4044)
"156",160,108,584232.3606,148749.5125,21.082,"BELE",NA,"L",NA,NA,"Betula lenta","Betula","lenta","betulaLenta",c(584232.3606, 148749.5125)
"157",161,108,584224.5559,148747.4196,12.446,"COFL",NA,"L",NA,"LEAN 20 DEGREES","Cornus florida","Cornus","florida","cornusFlorida",c(584224.5559, 148747.4196)
"158",162,108,584222.1423,148751.9376,34.544,"ACRU",NA,"L",NA,"LEAN FORK ABOVE DBH","Acer rubrum","Acer","rubrum","acerRubrum",c(584222.1423, 148751.9376)
"159",163,108,584215.1974,148746.0154,30.734,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584215.1974, 148746.0154)
"160",164,108,584217.9993,148755.3709,51.308,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584217.9993, 148755.3709)
"161",165,108,584215.6349,148755.1224,12.446,"BELE",NA,"L",NA,NA,"Betula lenta","Betula","lenta","betulaLenta",c(584215.6349, 148755.1224)
"162",166,108,584216.3968,148758.1297,11.176,"ACPE",NA,"L",NA,NA,"Acer pennsylvanicum","Acer","pennsylvanicum","acerPennsylv",c(584216.3968, 148758.1297)
"163",167,108,584215.9825,148760.3858,12.192,"ACPE",NA,"L",NA,NA,"Acer pennsylvanicum","Acer","pennsylvanicum","acerPennsylv",c(584215.9825, 148760.3858)
"164",168,108,584217.2971,148760.7662,10.668,"COFL",NA,"D",NA,"Dead","Cornus florida","Cornus","florida","cornusFlorida",c(584217.2971, 148760.7662)
"165",169,108,584213.0221,148766.1262,24.638,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584213.0221, 148766.1262)
